AACSL	empty	AACSP1 (Acetoacetyl-CoA Synthetase Pseudogene 1) is a Pseudogene.	empty	diff
CA11	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. CA XI is likely a secreted protein, however, radical changes at active site residues completely conserved in CA isozymes with catalytic activity, make it unlikely that it has carbonic anhydrase activity. It shares properties in common with two other acatalytic CA isoforms, CA VIII and CA X. CA XI is most abundantly expressed in brain, and may play a general role in the central nervous system. [provided by RefSeq, Jul 2008]	CA11 (Carbonic Anhydrase XI) is a Protein Coding gene. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA10.	Does not have a catalytic activity	same
CA10	This gene encodes a protein that belongs to the carbonic anhydrase family of zinc metalloenzymes, which catalyze the reversible hydration of carbon dioxide in various biological processes. The protein encoded by this gene is an acatalytic member of the alpha-carbonic anhydrase subgroup, and it is thought to play a role in the central nervous system, especially in brain development. Multiple transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]	CA10 (Carbonic Anhydrase X) is a Protein Coding gene. Diseases associated with CA10 include herpangina and retrograde amnesia. An important paralog of this gene is CA11.	Does not have a catalytic activity	same
C9orf85	empty	C9orf85 (Chromosome 9 Open Reading Frame 85) is a Protein Coding gene.	empty	same
C9orf84	empty	C9orf84 (Chromosome 9 Open Reading Frame 84) is a Protein Coding gene.	empty	same
CA12	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. This gene product is a type I membrane protein that is highly expressed in normal tissues, such as kidney, colon and pancreas, and has been found to be overexpressed in 10% of clear cell renal carcinomas. Three transcript variants encoding different isoforms have been identified for this gene. [provided by RefSeq, Jun 2014]	CA12 (Carbonic Anhydrase XII) is a Protein Coding gene. Diseases associated with CA12 include hyperchlorhidrosis, isolated and hypoxia. Among its related pathways are Metabolism and Glucose / Energy Metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide	same
C9	This gene encodes the final component of the complement system. It participates in the formation of the Membrane Attack Complex (MAC). The MAC assembles on bacterial membranes to form a pore, permitting disruption of bacterial membrane organization. Mutations in this gene cause component C9 deficiency. [provided by RefSeq, Feb 2009]	C9 (Complement Component 9) is a Protein Coding gene. Diseases associated with C9 include c9 deficiency and macular degeneration, age-related, 15, suscepbitility to. Among its related pathways are Complement and coagulation cascades and Complement and coagulation cascades. An important paralog of this gene is C6.	Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C9 is the pore-forming subunit of the MAC	same
C9orf89	empty	C9orf89 (Chromosome 9 Open Reading Frame 89) is a Protein Coding gene. GO annotations related to this gene include CARD domain binding.	Plays a role in inhibiting the effects of BCL10-induced activation of NF-kappa-B. May inhibit the phosphorylation of BCL10 in a CARD-dependent manner.	same
CA13	Carbonic anhydrases (CAs) are a family of zinc metalloenzymes. For background information on the CA family, see MIM 114800.[supplied by OMIM, Mar 2008]	CA13 (Carbonic Anhydrase XIII) is a Protein Coding gene. Diseases associated with CA13 include suppurative otitis media. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide	same
CA14	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. CA XIV is predicted to be a type I membrane protein and shares highest sequence similarity with the other transmembrane CA isoform, CA XII; however, they have different patterns of tissue-specific expression and thus may play different physiologic roles. [provided by RefSeq, Jul 2008]	CA14 (Carbonic Anhydrase XIV) is a Protein Coding gene. Diseases associated with CA14 include proximal renal tubular acidosis. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA7.	Reversible hydration of carbon dioxide	same
CA4	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This gene encodes a glycosylphosphatidyl-inositol-anchored membrane isozyme expressed on the luminal surfaces of pulmonary (and certain other) capillaries and proximal renal tubules. Its exact function is not known; however, it may have a role in inherited renal abnormalities of bicarbonate transport. [provided by RefSeq, Jul 2008]	CA4 (Carbonic Anhydrase IV) is a Protein Coding gene. Diseases associated with CA4 include retinitis pigmentosa 17 and ca4-related retinitis pigmentosa. Among its related pathways are Metabolism and Proximal tubule bicarbonate reclamation. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide. May stimulate the sodium/bicarbonate transporter activity of SLC4A4 that acts in pH homeostasis. It is essential for acid overload removal from the retina and retina epithelium, and acid release in the choriocapillaris in the choroid.	same
CA5BP	empty	CA5BP1 (Carbonic Anhydrase VB Pseudogene 1) is a Pseudogene. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity.	empty	diff
CA5A	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. CA VA is localized in the mitochondria and expressed primarily in the liver. It may play an important role in ureagenesis and gluconeogenesis. CA5A gene maps to chromosome 16q24.3 and an unprocessed pseudogene has been assigned to 16p12-p11.2. [provided by RefSeq, Jul 2008]	CA5A (Carbonic Anhydrase VA, Mitochondrial) is a Protein Coding gene. Diseases associated with CA5A include hyperammonemia due to carbonic anhydrase va deficiency and hyperammonemic encephalopathy due to carbonic anhydrase va deficiency. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide. Low activity	same
C9orf91	empty	C9orf91 (Chromosome 9 Open Reading Frame 91) is a Protein Coding gene.	empty	same
CA5B	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. CA VB is localized in the mitochondria and shows the highest sequence similarity to the other mitochondrial CA, CA VA. It has a wider tissue distribution than CA VA, which is restricted to the liver. The differences in tissue distribution suggest that the two mitochondrial carbonic anhydrases evolved to assume different physiologic roles. [provided by RefSeq, Jul 2008]	CA5B (Carbonic Anhydrase VB, Mitochondrial) is a Protein Coding gene. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide	same
CA6	The protein encoded by this gene is one of several isozymes of carbonic anhydrase. This protein is found only in salivary glands and saliva and protein may play a role in the reversible hydratation of carbon dioxide though its function in saliva is unknown. [provided by RefSeq, Jul 2008]	CA6 (Carbonic Anhydrase VI) is a Protein Coding gene. Diseases associated with CA6 include hand, foot and mouth disease and multilocular clear cell renal cell carcinoma. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide. Its role in saliva is unknown	same
CA3	Carbonic anhydrase III (CAIII) is a member of a multigene family (at least six separate genes are known) that encodes carbonic anhydrase isozymes. These carbonic anhydrases are a class of metalloenzymes that catalyze the reversible hydration of carbon dioxide and are differentially expressed in a number of cell types. The expression of the CA3 gene is strictly tissue specific and present at high levels in skeletal muscle and much lower levels in cardiac and smooth muscle. A proportion of carriers of Duchenne muscle dystrophy have a higher CA3 level than normal. The gene spans 10.3 kb and contains seven exons and six introns. [provided by RefSeq, Oct 2008]	CA3 (Carbonic Anhydrase III) is a Protein Coding gene. Diseases associated with CA3 include hordeolum and laryngeal disease. Among its related pathways are Metabolism and Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity and nickel cation binding. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide	same
CA8	The protein encoded by this gene was initially named CA-related protein because of sequence similarity to other known carbonic anhydrase genes. However, the gene product lacks carbonic anhydrase activity (i.e., the reversible hydration of carbon dioxide). The gene product continues to carry a carbonic anhydrase designation based on clear sequence identity to other members of the carbonic anhydrase gene family. The absence of CA8 gene transcription in the cerebellum of the lurcher mutant in mice with a neurologic defect suggests an important role for this acatalytic form. [provided by RefSeq, Jul 2008]	CA8 (Carbonic Anhydrase VIII) is a Protein Coding gene. Diseases associated with CA8 include cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3 and cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1. Among its related pathways are Nitrogen metabolism. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Does not have a carbonic anhydrase catalytic activity	same
CA1	Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This CA1 gene is closely linked to the CA2 and CA3 genes on chromosome 8. It encodes a cytosolic protein that is found at the highest level in erythrocytes. Allelic variants of this gene have been described in some populations. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2014]	CA1 (Carbonic Anhydrase I) is a Protein Coding gene. Diseases associated with CA1 include subacute thyroiditis and amnestic disorder. Among its related pathways are Metabolism and C-MYB transcription factor network. GO annotations related to this gene include carbonate dehydratase activity. An important paralog of this gene is CA14.	Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.	same
